Step;Training Loss;Validation Loss;Accuracy;Precision;Recall;F1
10;0.695400;0.672596;0.543269;1;0.086538;0.159292
20;0.645000;0.622467;0.629808;0.575419;0.990385;0.727915
30;0.588400;0.521643;0.807692;0.766667;0.884615;0.821429
40;0.522600;0.476878;0.812500;0.751938;0.932692;0.832618
50;0.501500;0.459415;0.778846;0.845238;0.682692;0.755319
60;0.428300;0.445664;0.817308;0.775000;0.894231;0.830357
70;0.502600;0.438141;0.822115;0.759690;0.942308;0.841202
80;0.322900;0.396349;0.841346;0.838095;0.846154;0.842105
90;0.387700;0.528985;0.759615;0.684932;0.961538;0.800000
100;0.400400;0.418385;0.836538;0.906977;0.750000;0.821053
110;0.462800;0.378768;0.831731;0.800000;0.884615;0.840183
120;0.250700;0.393122;0.836538;0.801724;0.894231;0.845455
130;0.373800;0.382894;0.846154;0.846154;0.846154;0.846154
140;0.237600;0.462485;0.812500;0.760000;0.913462;0.829694
150;0.251100;0.373516;0.850962;0.847619;0.855769;0.851675
160;0.261300;0.398071;0.836538;0.818182;0.865385;0.841121
170;0.342900;0.411840;0.841346;0.803419;0.903846;0.850679
180;0.348500;0.406100;0.836538;0.818182;0.865385;0.841121
190;0.269000;0.459900;0.817308;0.761905;0.923077;0.834783
200;0.186800;0.395527;0.836538;0.830189;0.846154;0.838095
210;0.264000;0.397827;0.836538;0.818182;0.865385;0.841121
220;0.235000;0.391600;0.846154;0.833333;0.865385;0.849057
230;0.322800;0.387144;0.846154;0.839623;0.855769;0.847619
240;0.145500;0.395828;0.850962;0.828829;0.884615;0.855814
250;0.135400;0.418688;0.850962;0.828829;0.884615;0.855814
260;0.115700;0.452228;0.846154;0.827273;0.875000;0.850467
270;0.127300;0.529365;0.846154;0.795082;0.932692;0.858407
280;0.135500;0.476017;0.865385;0.865385;0.865385;0.865385
290;0.148800;0.474131;0.870192;0.859813;0.884615;0.872038
300;0.157400;0.468132;0.865385;0.851852;0.884615;0.867925
310;0.198000;0.456564;0.855769;0.842593;0.875000;0.858491
320;0.330100;0.444589;0.865385;0.839286;0.903846;0.870370
330;0.112400;0.473067;0.846154;0.810345;0.903846;0.854545
340;0.174600;0.512934;0.836538;0.807018;0.884615;0.844037
350;0.101300;0.502604;0.846154;0.860000;0.826923;0.843137
360;0.096200;0.518500;0.855769;0.862745;0.846154;0.854369
370;0.055900;0.548377;0.855769;0.824561;0.903846;0.862385
380;0.114500;0.562768;0.865385;0.858491;0.875000;0.866667
390;0.090600;0.577503;0.860577;0.850467;0.875000;0.862559
400;0.064700;0.673489;0.831731;0.771654;0.942308;0.848485
410;0.148400;0.601659;0.865385;0.872549;0.855769;0.864078
420;0.124000;0.642995;0.860577;0.871287;0.846154;0.858537
430;0.084500;0.596709;0.865385;0.851852;0.884615;0.867925
440;0.057700;0.619075;0.841346;0.808696;0.894231;0.849315
450;0.055100;0.595438;0.865385;0.865385;0.865385;0.865385
460;0.027800;0.632837;0.841346;0.803419;0.903846;0.850679
470;0.018200;0.679435;0.841346;0.798319;0.913462;0.852018
480;0.005800;0.644998;0.860577;0.837838;0.894231;0.865116
490;0.004100;0.674891;0.846154;0.815789;0.894231;0.853211
500;0.063700;0.686771;0.846154;0.815789;0.894231;0.853211
510;0.072900;0.679868;0.855769;0.842593;0.875000;0.858491
520;0.104900;0.696870;0.855769;0.877551;0.826923;0.851485
530;0.035300;0.675726;0.860577;0.857143;0.865385;0.861244
540;0.087500;0.730411;0.846154;0.810345;0.903846;0.854545
550;0.071800;0.696634;0.850962;0.823009;0.894231;0.857143
560;0.032100;0.660488;0.860577;0.864078;0.855769;0.859903
570;0.077600;0.670955;0.850962;0.828829;0.884615;0.855814
580;0.054300;0.676540;0.855769;0.830357;0.894231;0.861111
590;0.024200;0.664137;0.860577;0.837838;0.894231;0.865116
600;0.026800;0.656801;0.860577;0.844037;0.884615;0.863850
610;0.008500;0.671464;0.860577;0.837838;0.894231;0.865116
620;0.076200;0.665856;0.860577;0.844037;0.884615;0.863850
630;0.003500;0.667420;0.865385;0.845455;0.894231;0.869159
640;0.023600;0.680994;0.860577;0.837838;0.894231;0.865116
650;0.054400;0.676023;0.860577;0.837838;0.894231;0.865116
660;0.033900;0.683782;0.860577;0.837838;0.894231;0.865116
670;0.063300;0.692246;0.860577;0.831858;0.903846;0.866359